LASTNAME,FIRSTNAME,PLAYERID,DAVENPORTCODE,MLBCODE,RETROSHEETCODE
Ausmus,Brad,3,AUSMUS19690414A,110385,ausmb001
Bagwell,Jeff,4,BAGWELL19680527A,110432,bagwj001
Berkman,Lance,6,BERKMAN19760210A,204020,berkl001
Biggio,Craig,7,BIGGIO19651214A,110987,biggc001
Blum,Geoff,8,BLUM19730426A,150398,blumg001
Borbon,Pedro,9,BORBON19671115A,111228,borbp001
Dotel,Octavio,14,DOTEL19731125A,136734,doteo001
Ensberg,Morgan,15,ENSBERG19750826A,348563,ensbm001
Everett,Adam,16,EVERETT19770202A,276361,evera001
Gordon,Tom,17,GORDON19671118A,114971,gordt001
Lane,Jason,24,LANE19761222A,407835,lanej001
Lidge,Brad,25,LIDGE19761223A,400058,lidgb001
Loretta,Mark,26,LORETTA19710814A,117928,lorem001
Merced,Orlando,29,MERCED19661102A,118958,merco002
Miller,Wade,30,MILLER19760913A,150063,millw001
Mlicki,Dave,31,MLICKI19680608A,119211,mlicd001
Munro,Peter,32,MUNRO19750614A,133729,munrp001
Oswalt,Roy,33,OSWALT19770829A,400061,oswar001
Puffer,Brandon,36,PUFFER19751005A,407836,puffb001
Redding,Tim,39,REDDING19780212A,400062,reddt001
Reynolds,Shane,40,REYNOLDS19680326A,121110,reyns001
Robertson,Jeriome,41,ROBERTSON19770330A,276359,robej001
Saarloos,Kirk,43,SAARLOOS19790523A,424164,saark001
Stone,Ricky,47,STONE19750228A,150392,stonr001
Vizcaino,Jose,48,VIZCAINO19680326A,123743,vizcj001
Wagner,Billy,49,WAGNER19710725A,123790,wagnb001
Ward,Daryle,50,WARD19750627A,132880,wardd002
Zaun,Gregg,52,ZAUN19710414A,124748,zaung001
Zinter,Alan,53,ZINTER19680519A,150043,zinta001
Blanco,Henry,57,BLANCO19710829A,111072,blanh001
Bong,Jung,59,BONG19800715A,407794,bongj001
Bragg,Darren,60,BRAGG19690907A,111369,bragd001
Castilla,Vinny,61,CASTILLA19670704A,112106,castv001
Dawley,Joey,64,DAWLEY19710919A,425307,dawlj001
DeRosa,Mark,65,DEROSA19750202A,136660,derom001
Ennis,John,67,ENNIS19791017A,407795,ennij001
Foster,John,69,FOSTER19780517A,407796,fostj001
Franco,Julio,70,FRANCO19580823A,212297,franj002
Franco,Matt,71,FRANCO19690819A,114376,franm001
Furcal,Rafael,73,FURCAL19771024A,279577,furcr001
Giles,Marcus,74,GILES19780518A,279578,gilem001
Glavine,Tom,75,GLAVINE19660325A,114849,glavt001
Gryboski,Kevin,77,GRYBOSKI19731115A,407839,grybk001
Hammond,Chris,78,HAMMOND19660121A,115391,hammc001
Helms,Wes,79,HELMS19760512A,136500,helmw001
Hodges,Trey,82,HODGES19780629A,408074,hodgt001
Holmes,Darren,83,HOLMES19660425A,116100,holmd001
Jones,Chipper,85,JONES19720424A,116706,jonec004
Jones,Andruw,86,JONES19770423A,116662,jonea002
Ligtenberg,Kerry,90,LIGTENBER19710511A,117763,ligtk001
Lockhart,Keith,91,LOCKHART19641110A,117854,lockk001
Lopez,Javy,92,LOPEZ19701105A,117919,lopej001
Lopez,Albie,93,LOPEZ19710818A,117913,lopea002
Maddux,Greg,95,MADDUX19660414A,118120,maddg002
Marquis,Jason,96,MARQUIS19780821A,150302,marqj001
Millwood,Kevin,100,MILLWOOD19741224A,119154,millk004
Moss,Damian,102,MOSS19761124A,150305,mossd001
Remlinger,Mike,105,REMLINGER19660323A,121060,remlm001
Sheffield,Gary,106,SHEFFIELD19681118A,122111,shefg001
Smoltz,John,107,SMOLTZ19670515A,122477,smolj001
Spooneybarger,Tim,108,SPOONEYBA19791021A,407486,spoot001
Surhoff,B.J.,109,SURHOFF19640804A,122989,surhb001
Alcantara,Israel,113,ALCANTARA19710506A,150161,alcai001
Bako,Paul,114,BAKO19720620A,132720,bakop001
Belliard,Ronnie,115,BELLIARD19750407A,150071,bellr002
Buddie,Mike,116,BUDDIE19701212A,133322,buddm001
DeJean,Mike,122,DEJEAN19700928A,113211,dejem001
De Los Santos,Valerio,123,DELOSSANT19721006A,136304,delov001
Diggins,Ben,125,DIGGINS19790613A,424947,diggb001
Durocher,Jayson,126,DUROCHER19740818A,284565,duroj001
Figueroa,Nelson,128,FIGUEROA19740518A,150153,figun001
Fox,Chad,130,FOX19700903A,114354,fox-c001
Ginter,Keith,131,GINTER19760505A,348562,gintk001
Hammonds,Jeffrey,134,HAMMONDS19710305A,115394,hammj001
Harris,Lenny,136,HARRIS19641028A,115529,harrl001
Jenkins,Geoff,139,JENKINS19740721A,132961,jenkg001
King,Ray,141,KING19740115A,150037,kingr001
Machado,Robert,144,MACHADO19730603A,118079,machr001
Nance,Shane,147,NANCE19770907A,424585,nancs001
Neugebauer,Nick,149,NEUGEBAUE19800715A,400302,neugn001
Osting,Jimmy,151,OSTING19770407A,275701,ostij001
Quevedo,Ruben,152,QUEVEDO19790105A,275935,quevr001
Rusch,Glendon,154,RUSCH19741107A,121556,ruscg001
Rushford,Jim,155,RUSHFORD19740324A,425106,rushj001
Sexson,Richie,157,SEXSON19741229A,122027,sexsr001
Sheets,Ben,158,SHEETS19780718A,282656,sheeb001
Stairs,Matt,159,STAIRS19680227A,122644,staim001
Vizcaino,Luis,161,VIZCAINO19740806A,150430,vizcl001
Benes,Andy,165,BENES19670820A,110854,benea001
Cairo,Miguel,167,CAIRO19740504A,111867,cairm001
Coolbaugh,Mike,169,COOLBAUGH19720605A,150086,coolm001
Crudale,Mike,170,CRUDALE19770103A,407866,crudm001
Cruz,Ivan,171,CRUZ19680503A,112905,cruzi001
Delgado,Wilson,172,DELGADO19720715A,113234,delgw001
Difelice,Mike,173,DIFELICE19690528A,113358,difem001
Drew,J.D.,174,DREW19751120A,136770,drewj001
Duff,Matt,175,DUFF19741006A,424685,duffm001
Edmonds,Jim,177,EDMONDS19700627A,113744,edmoj001
Fassero,Jeff,178,FASSERO19630105A,114032,fassj001
Finley,Chuck,179,FINLEY19621126A,114133,finlc001
Hackman,Luther,182,HACKMAN19741010A,235097,hackl001
Isringhausen,Jason,185,ISRINGHAU19720907A,116414,isrij001
Kline,Steve,190,KLINE19720822A,117157,klins002
Marrero,Eli,192,MARRERO19731117A,118305,marre001
Martinez,Tino,193,MARTINEZ19671207A,118362,martt002
Matheny,Mike,194,MATHENY19700922A,118414,mathm001
McDonald,Keith,195,MCDONALD19730208A,150461,mcdok001
Pujols,Albert,204,PUJOLS19800116A,405395,pujoa001
Renteria,Edgar,205,RENTERIA19750807A,121074,rente001
Robinson,Kerry,206,ROBINSON19731003A,137005,robik002
Rolen,Scott,207,ROLEN19750404A,121409,roles001
Simontacchi,Jason,208,SIMONTACC19731113A,421004,simoj001
Smith,Travis,209,SMITH19721107A,134000,smitt001
Stechschulte,Gene,210,STECHSCHU19730812A,276536,stecg001
Stephenson,Garrett,211,STEPHENSO19720102A,122751,stepg001
Taguchi,So,213,TAGUCHI19690702A,408039,tagus001
Veres,Dave,214,VERES19661019A,123707,vered001
Vina,Fernando,215,VINA19690416A,123726,vinaf001
White,Rick,216,WHITE19681223A,124184,whitr002
Wright,Jamey,219,WRIGHT19741224A,124604,wrigj001
Alfonseca,Antonio,220,ALFONSECA19720416A,110134,alfoa001
Alou,Moises,221,ALOU19660703A,110189,aloum001
Bellhorn,Mark,223,BELLHORN19740823A,110840,bellm002
Beltran,Francis,224,BELTRAN19791129A,407779,beltf001
Benes,Alan,225,BENES19720121A,110853,benea002
Bere,Jason,226,BERE19710526A,110891,berej002
Borowski,Joe,227,BOROWSKI19710504A,111244,boroj001
Brown,Roosevelt,228,BROWN19750803A,150032,browr001
Choi,Hee Seop,232,CHOI19790316A,400292,choih001
Clement,Matt,234,CLEMENT19740812A,136725,clemm001
Cunnane,Will,237,CUNNANE19740424A,112940,cunnw001
Echevarria,Angel,240,ECHEVARRI19710525A,113724,echea001
